spot	nb_rgp	nb_families	nb_unique_family_sets	mean_nb_genes	stdev_nb_genes	max_nb_genes	min_nb_genes
spot_2	8	8	2	5.375	1.061	8	5
spot_10	7	13	2	12.286	0.488	13	12
spot_8	6	23	3	9	7.849	21	4
spot_28	6	18	4	15	1.549	17	14
spot_12	5	49	5	18.4	7.635	32	14
spot_5	5	24	3	22.8	0.837	24	22
spot_9	5	7	1	8	0.0	8	8
spot_13	5	14	3	12.4	0.548	13	12
spot_6	5	10	2	4.8	1.095	6	4
spot_3	5	17	1	17	0.0	17	17
spot_19	5	95	5	28.6	17.184	50	13
spot_0	5	5	2	4.2	0.447	5	4
spot_4	4	41	3	13	6.0	20	8
spot_11	4	17	1	18	0.0	18	18
spot_27	4	5	2	4.25	0.5	5	4
spot_21	4	33	3	18.75	6.946	27	13
spot_51	3	4	1	4	0.0	4	4
spot_36	3	41	2	23.333	4.041	28	21
spot_1	3	5	1	5	0.0	5	5
spot_7	3	26	2	18.667	7.506	23	10
spot_14	3	6	2	5.333	0.577	6	5
spot_29	3	124	3	44	35.595	78	7
spot_26	3	17	1	17	0.0	17	17
spot_24	3	24	2	9.667	8.083	19	5
spot_18	3	5	1	5	0.0	5	5
spot_16	2	93	2	67.5	3.536	70	65
spot_41	2	22	1	23.5	0.707	24	23
spot_46	2	13	2	8	5.657	12	4
spot_53	2	9	2	6	0.0	6	6
spot_32	2	19	2	10	0.0	10	10
spot_33	2	102	2	62.5	19.092	76	49
spot_34	2	9	2	4.5	0.707	5	4
spot_54	2	18	2	11.5	3.536	14	9
spot_43	2	4	1	4	0.0	4	4
spot_44	2	21	2	15.5	0.707	16	15
spot_15	2	26	2	16	2.828	18	14
spot_30	2	96	2	48.5	36.062	74	23
spot_38	2	13	2	8.5	6.364	13	4
spot_49	1	20	1	20	0	20	20
spot_17	1	12	1	12	0	12	12
spot_50	1	13	1	13	0	13	13
spot_52	1	16	1	16	0	16	16
spot_35	1	5	1	6	0	6	6
spot_57	1	21	1	22	0	22	22
spot_59	1	10	1	10	0	10	10
spot_60	1	21	1	21	0	21	21
spot_61	1	20	1	24	0	24	24
spot_58	1	8	1	8	0	8	8
spot_56	1	19	1	20	0	20	20
spot_42	1	9	1	10	0	10	10
spot_64	1	9	1	10	0	10	10
spot_55	1	6	1	6	0	6	6
spot_63	1	16	1	16	0	16	16
spot_45	1	12	1	12	0	12	12
spot_47	1	27	1	28	0	28	28
spot_37	1	23	1	23	0	23	23
spot_39	1	7	1	7	0	7	7
spot_48	1	6	1	7	0	7	7
spot_25	1	8	1	9	0	9	9
spot_23	1	6	1	6	0	6	6
spot_40	1	4	1	4	0	4	4
spot_62	1	30	1	30	0	30	30
spot_22	1	23	1	25	0	25	25
spot_20	1	66	1	66	0	66	66
spot_65	1	6	1	6	0	6	6
spot_31	1	6	1	6	0	6	6
